Race{actualTime=17857, actualLap=298}
Race{actualTime=17872, actualLap=298}
Race{actualTime=17902, actualLap=299}
Race{actualTime=17917, actualLap=299}
Race{actualTime=17932, actualLap=299}
Race{actualTime=17947, actualLap=300}
Race{actualTime=17962, actualLap=300}
Race{actualTime=17977, actualLap=300}
Race{actualTime=17992, actualLap=300}
Race{actualTime=18007, actualLap=301}
Race{actualTime=18022, actualLap=301}
Race{actualTime=18037, actualLap=301}
Race{actualTime=18052, actualLap=301}
Race{actualTime=18067, actualLap=302}
Race{actualTime=18082, actualLap=302}
Race{actualTime=18097, actualLap=302}
Race{actualTime=18112, actualLap=302}
Race{actualTime=18127, actualLap=303}
Race{actualTime=18142, actualLap=303}
Race{actualTime=18157, actualLap=303}
Race{actualTime=18172, actualLap=303}
Race{actualTime=18187, actualLap=304}
Race{actualTime=18202, actualLap=304}
Race{actualTime=18217, actualLap=304}
Race{actualTime=18232, actualLap=304}
Race{actualTime=18247, actualLap=305}
Race{actualTime=18262, actualLap=305}
Race{actualTime=18277, actualLap=305}
Race{actualTime=18292, actualLap=305}
Race{actualTime=18307, actualLap=306}
Race{actualTime=18322, actualLap=306}
Race{actualTime=18337, actualLap=306}
Race{actualTime=18352, actualLap=306}
Race{actualTime=18367, actualLap=307}
Race{actualTime=18382, actualLap=307}
Race{actualTime=18397, actualLap=307}
Race{actualTime=18412, actualLap=307}
Race{actualTime=18427, actualLap=308}
Race{actualTime=18442, actualLap=308}
Race{actualTime=18457, actualLap=308}
Race{actualTime=18472, actualLap=308}
Race{actualTime=18487, actualLap=309}
Race{actualTime=18502, actualLap=309}
Race{actualTime=18517, actualLap=309}
Race{actualTime=18532, actualLap=309}
Race{actualTime=18547, actualLap=310}
Race{actualTime=18562, actualLap=310}
Race{actualTime=18577, actualLap=310}
Race{actualTime=18592, actualLap=310}
Race{actualTime=18607, actualLap=311}
Race{actualTime=18622, actualLap=311}
Race{actualTime=18637, actualLap=311}
Race{actualTime=18652, actualLap=311}
Race{actualTime=18667, actualLap=312}
Race{actualTime=18682, actualLap=312}
Race{actualTime=18697, actualLap=312}
Race{actualTime=18712, actualLap=312}
Race{actualTime=18727, actualLap=313}
Race{actualTime=18742, actualLap=313}
Race{actualTime=18757, actualLap=313}
Race{actualTime=18772, actualLap=313}
Race{actualTime=18787, actualLap=314}
Race{actualTime=18802, actualLap=314}
Race{actualTime=18817, actualLap=314}
Race{actualTime=18832, actualLap=314}
Race{actualTime=18847, actualLap=315}
Race{actualTime=18862, actualLap=315}
Race{actualTime=18877, actualLap=315}
Race{actualTime=18892, actualLap=315}
Race{actualTime=18907, actualLap=316}
Race{actualTime=18922, actualLap=316}
Race{actualTime=18937, actualLap=316}
Race{actualTime=18952, actualLap=316}
Race{actualTime=18967, actualLap=317}
Race{actualTime=18982, actualLap=317}
Race{actualTime=18997, actualLap=317}
Race{actualTime=19012, actualLap=317}
Race{actualTime=19027, actualLap=318}
Race{actualTime=19042, actualLap=318}
Race{actualTime=19057, actualLap=318}
Race{actualTime=19072, actualLap=318}
Race{actualTime=19087, actualLap=319}
Race{actualTime=19102, actualLap=319}
Race{actualTime=19117, actualLap=319}
Race{actualTime=19132, actualLap=319}
Race{actualTime=19147, actualLap=320}
Race{actualTime=19162, actualLap=320}
Race{actualTime=19177, actualLap=320}
Race{actualTime=19192, actualLap=320}
Race{actualTime=19207, actualLap=321}
Race{actualTime=19222, actualLap=321}
Race{actualTime=19237, actualLap=321}
Race{actualTime=19252, actualLap=321}
Race{actualTime=19267, actualLap=322}
Race{actualTime=19282, actualLap=322}
Race{actualTime=19297, actualLap=322}
Race{actualTime=19312, actualLap=322}
Race{actualTime=19327, actualLap=323}
Race{actualTime=19342, actualLap=323}
Race{actualTime=19357, actualLap=323}
Race{actualTime=19372, actualLap=323}
Race{actualTime=19387, actualLap=324}
Race{actualTime=19402, actualLap=324}
Race{actualTime=19417, actualLap=324}
Race{actualTime=19432, actualLap=324}
Race{actualTime=19447, actualLap=325}
Race{actualTime=19462, actualLap=325}
Race{actualTime=19477, actualLap=325}
Race{actualTime=19492, actualLap=325}
Race{actualTime=19507, actualLap=326}
Race{actualTime=19522, actualLap=326}
Race{actualTime=19537, actualLap=326}
Race{actualTime=19552, actualLap=326}
Race{actualTime=19567, actualLap=327}
Race{actualTime=19582, actualLap=327}
Race{actualTime=19597, actualLap=327}
Race{actualTime=19612, actualLap=327}
Race{actualTime=19627, actualLap=328}
Race{actualTime=19642, actualLap=328}
Race{actualTime=19657, actualLap=328}
Race{actualTime=19672, actualLap=328}
Race{actualTime=19687, actualLap=329}
Race{actualTime=19702, actualLap=329}
Race{actualTime=19732, actualLap=329}
Race{actualTime=19747, actualLap=330}
Race{actualTime=19762, actualLap=330}
Race{actualTime=19777, actualLap=330}
Race{actualTime=19792, actualLap=330}
Race{actualTime=19807, actualLap=331}
Race{actualTime=19822, actualLap=331}
Race{actualTime=19837, actualLap=331}
Race{actualTime=19852, actualLap=331}
Race{actualTime=19867, actualLap=332}
Race{actualTime=19882, actualLap=332}
Race{actualTime=19897, actualLap=332}
Race{actualTime=19912, actualLap=332}
Race{actualTime=19927, actualLap=333}
Race{actualTime=19942, actualLap=333}
Race{actualTime=19957, actualLap=333}
Race{actualTime=19972, actualLap=333}
Race{actualTime=19987, actualLap=334}
Race{actualTime=20002, actualLap=334}
Race{actualTime=20017, actualLap=334}
Race{actualTime=20032, actualLap=334}
Race{actualTime=20047, actualLap=335}
Race{actualTime=20062, actualLap=335}
Race{actualTime=20077, actualLap=335}
Race{actualTime=20092, actualLap=335}
Race{actualTime=20107, actualLap=336}
Race{actualTime=20122, actualLap=336}
Race{actualTime=20137, actualLap=336}
Race{actualTime=20152, actualLap=336}
Race{actualTime=20167, actualLap=337}
Race{actualTime=20182, actualLap=337}
Race{actualTime=20197, actualLap=337}
Race{actualTime=20213, actualLap=337}
Race{actualTime=20243, actualLap=338}
Race{actualTime=20258, actualLap=338}
Race{actualTime=20273, actualLap=338}
Race{actualTime=20288, actualLap=339}
Race{actualTime=20303, actualLap=339}
Race{actualTime=20318, actualLap=339}
Race{actualTime=20333, actualLap=339}
Race{actualTime=20348, actualLap=340}
Race{actualTime=20363, actualLap=340}
Race{actualTime=20378, actualLap=340}
Race{actualTime=20393, actualLap=340}
Race{actualTime=20408, actualLap=341}
Race{actualTime=20423, actualLap=341}
Race{actualTime=20438, actualLap=341}
Race{actualTime=20453, actualLap=341}
Race{actualTime=20468, actualLap=342}
Race{actualTime=20483, actualLap=342}
Race{actualTime=20498, actualLap=342}
Race{actualTime=20513, actualLap=342}
